script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, redIntensityPlain, greenIntensityPlain, blueIntensityPlain, redIntensityCipher, greenIntensityCipher, blueIntensityCipher, redIntensityDecipher, greenIntensityDecipher, blueIntensityDecipher, entropyRGBPlain,    entropyRGBCipher,     entropyRGBDecipher, entropyRedPlain,    entropyGreenPlain,    entropyBluePlain, entropyRedCipher,   entropyGreenCipher,   entropyBlueCipher, entropyRedDecipher, entropyGreenDecipher, entropyBlueDecipher, diff_RGB_NPCRscore,   diff_RGB_NPCRpval,   diff_RGB_UACIscore,   diff_RGB_UACIpval, diff_Red_NPCRscore,   diff_Red_NPCRpval,   diff_Red_UACIscore,   diff_Red_UACIpval, diff_Green_NPCRscore, diff_Green_NPCRpval, diff_Green_UACIscore, diff_Green_UACIpval, diff_Blue_NPCRscore,  diff_Blue_NPCRpval,  diff_Blue_UACIscore,  diff_Blue_UACIpval, corr_rgbPlain_H, corr_rgbPlain_V, corr_rgbPlain_D, corr_rgbCipher_H, corr_rgbCipher_V, corr_rgbCipher_D, corr_rgbDecipher_H, corr_rgbDecipher_V, corr_rgbDecipher_D, corr_redPlain_H, corr_redPlain_V, corr_redPlain_D, corr_greenPlain_H, corr_greenPlain_V, corr_greenPlain_D, corr_bluePlain_H, corr_bluePlain_V, corr_bluePlain_D, corr_redCipher_H, corr_redCipher_V, corr_redCipher_D, corr_greenCipher_H, corr_greenCipher_V, corr_greenCipher_D, corr_blueCipher_H, corr_blueCipher_V, corr_blueCipher_D, corr_redDecipher_H, corr_redDecipher_V, corr_redDecipher_D, corr_greenDecipher_H, corr_greenDecipher_V, corr_greenDecipher_D, corr_blueDecipher_H, corr_blueDecipher_V, corr_blueDecipher_D, corr_redKeySensCipher, corr_greenKeySensCipher, corr_blueKeySensCipher, corr_redKeySensDecipher, corr_greenKeySensDecipher, corr_blueKeySensDecipher  
[21-02-17 08.25.22.512],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,256,256,3,9.058442,0.057915,0.018710,0.002225,0.000010,0.008153,0.000641,0.087716,0.058791,0.019442,0.001953,0.000011,0.008931,0.000672,0.089859,0.062022,0.022470,0.002434,0.000015,0.008074,0.000514,0.095589,0.064786,0.021560,0.001962,0.000009,0.008357,0.000603,0.097326,0.063888,0.025165,0.002521,0.000012,0.008861,0.000709,0.101230,9.543426,146.564026,132.999695,142.022537,127.695526,127.547623,127.838287,146.564026,132.999695,142.022537,7.068625,7.999139,7.068625,6.431052,6.538931,6.232038,7.997205,7.997365,7.997470,6.431052,6.538931,6.232038,0.996206,0.786813,0.333781,0.109493,0.996582,0.977461,0.333524,0.229198,0.995544,0.012085,0.333739,0.331972,0.996490,0.948257,0.334081,0.548820,0.975566,0.953066,0.938216,-0.009458,-0.004156,0.007423,0.975566,0.953066,0.938216,0.967207,0.978234,0.981256,0.932725,0.951100,0.975374,0.909093,0.943806,0.961750,-0.022581,0.004520,-0.010312,-0.008235,-0.033240,0.029006,0.001204,0.009911,0.011155,0.967207,0.978234,0.981256,0.932725,0.951100,0.975374,0.909093,0.943806,0.961750,-0.007088,-0.000145,0.001850,-0.008557,-0.008557,0.000443 
[21-02-17 08.28.44.191],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,256,256,3,8.971598,0.067721,0.024317,0.002371,0.000012,0.012160,0.000683,0.107327,0.064336,0.024889,0.001883,0.000009,0.010169,0.000666,0.102008,0.060067,0.019919,0.001888,0.000009,0.009442,0.000549,0.091927,0.063261,0.020290,0.002240,0.000012,0.008773,0.000578,0.095213,0.063642,0.020067,0.003076,0.000015,0.007964,0.000863,0.095690,9.475514,146.564026,132.999695,142.022537,127.729141,127.438416,127.075317,146.564026,132.999695,142.022537,7.068625,7.999128,7.068625,6.431052,6.538931,6.232038,7.997319,7.997362,7.997452,6.431052,6.538931,6.232038,0.996363,0.972331,0.334427,0.696634,0.996292,0.792204,0.333886,0.417611,0.996277,0.773815,0.334596,0.966332,0.996521,0.960236,0.334799,0.859109,0.975868,0.948767,0.935121,0.013487,0.002751,-0.002303,0.975868,0.948767,0.935121,0.965593,0.980091,0.981921,0.934317,0.937078,0.974907,0.908533,0.937025,0.959806,0.016562,0.015190,0.008709,0.036304,-0.016080,-0.011973,-0.010548,0.009922,-0.006285,0.965593,0.980091,0.981921,0.934317,0.937078,0.974907,0.908533,0.937025,0.959806,0.002837,-0.007974,0.003753,0.002001,0.002001,0.005496 
[21-02-17 08.32.03.170],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,256,256,3,8.847402,0.067619,0.023402,0.002945,0.000011,0.010851,0.000680,0.105568,0.064250,0.024152,0.002015,0.000012,0.010695,0.000693,0.101875,0.057758,0.020516,0.003046,0.000012,0.008701,0.000615,0.090709,0.059215,0.022831,0.002856,0.000016,0.008771,0.000532,0.094288,0.062669,0.021018,0.003366,0.000012,0.008973,0.000716,0.096814,9.349616,146.564026,132.999695,142.022537,127.337616,127.118637,127.221237,146.564026,132.999695,142.022537,7.068625,7.999109,7.068625,6.431052,6.538931,6.232038,7.997489,7.996791,7.997839,6.431052,6.538931,6.232038,0.996048,0.372441,0.335169,0.317621,0.995758,0.084149,0.335839,0.192786,0.996155,0.598896,0.335263,0.497490,0.996231,0.713487,0.334404,0.802676,0.976389,0.949159,0.936794,0.009157,0.003407,-0.017504,0.976389,0.949159,0.936794,0.965846,0.981075,0.982245,0.933465,0.941885,0.972127,0.912643,0.935875,0.961862,0.019778,0.014715,-0.007022,-0.028352,0.012160,0.026412,-0.035562,0.008237,-0.025186,0.965846,0.981075,0.982245,0.933465,0.941885,0.972127,0.912643,0.935875,0.961862,0.000017,0.004437,0.000140,-0.003974,-0.003974,-0.000603 
[21-02-17 08.35.18.943],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,256,256,3,8.956085,0.060343,0.020168,0.001900,0.000009,0.009080,0.000608,0.092157,0.062767,0.018928,0.003079,0.000013,0.008332,0.000517,0.093692,0.078365,0.021310,0.002664,0.000012,0.008458,0.000686,0.111557,0.068333,0.049641,0.003292,0.000018,0.035304,0.000668,0.157348,0.090051,0.024467,0.013268,0.000024,0.020742,0.000901,0.149611,9.575976,146.564026,132.999695,142.022537,127.779785,127.350189,127.897125,146.564026,132.999695,142.022537,7.068625,7.998985,7.068625,6.431052,6.538931,6.232038,7.997068,7.997069,7.996779,6.431052,6.538931,6.232038,0.996257,0.876356,0.334886,0.638861,0.996170,0.622902,0.336810,0.018639,0.996185,0.646443,0.334309,0.724031,0.996414,0.905757,0.333538,0.235322,0.973622,0.953181,0.937873,0.009434,0.012183,0.002784,0.973622,0.953181,0.937873,0.963371,0.978370,0.979126,0.933219,0.952863,0.973460,0.916564,0.932584,0.964470,0.018455,-0.012302,0.022148,0.004765,0.025911,0.005873,-0.014686,-0.009416,0.032454,0.963371,0.978370,0.979126,0.933219,0.952863,0.973460,0.916564,0.932584,0.964470,0.004392,0.000005,0.004947,0.001092,0.001092,0.004948 
[21-02-17 08.38.34.933],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,256,256,3,8.827002,0.063062,0.019901,0.001888,0.000009,0.008228,0.000590,0.093732,0.056551,0.020890,0.001788,0.000008,0.008126,0.000690,0.088102,0.058780,0.019761,0.002127,0.000009,0.008219,0.000606,0.089557,0.064770,0.021566,0.003217,0.000015,0.009188,0.000506,0.099318,0.069786,0.022250,0.002659,0.000014,0.008171,0.000585,0.103523,9.312763,146.564026,132.999695,142.022537,127.764481,127.521011,127.011536,146.564026,132.999695,142.022537,7.068625,7.999162,7.068625,6.431052,6.538931,6.232038,7.997559,7.997429,7.997485,6.431052,6.538931,6.232038,0.996145,0.641156,0.334486,0.778802,0.996384,0.882943,0.333622,0.272881,0.995987,0.330564,0.335370,0.426819,0.996063,0.450165,0.334465,0.853468,0.977232,0.952964,0.929919,-0.006622,0.006055,-0.004810,0.977232,0.952964,0.929919,0.969087,0.980699,0.981910,0.938665,0.946333,0.973892,0.907073,0.924067,0.958618,-0.013664,-0.011899,0.005698,-0.001107,0.019549,-0.000277,0.009608,-0.000388,-0.023648,0.969087,0.980699,0.981910,0.938665,0.946333,0.973892,0.907073,0.924067,0.958618,0.007297,0.003579,-0.001076,0.007300,0.007300,-0.004802 
[21-02-17 08.41.54.570],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,256,256,3,8.861013,0.068688,0.027365,0.003410,0.000012,0.010219,0.000554,0.110299,0.066805,0.024097,0.002730,0.000016,0.009672,0.000760,0.104172,0.067669,0.026245,0.001871,0.000009,0.009653,0.000653,0.106162,0.070938,0.026878,0.003024,0.000016,0.010939,0.000494,0.112354,0.067398,0.026372,0.002066,0.000010,0.011672,0.000643,0.108218,9.414269,146.564026,132.999695,142.022537,127.662476,127.727524,127.881653,146.564026,132.999695,142.022537,7.068625,7.999096,7.068625,6.431052,6.538931,6.232038,7.997540,7.997208,7.996833,6.431052,6.538931,6.232038,0.996053,0.386199,0.333847,0.139539,0.995712,0.058726,0.333459,0.203252,0.996552,0.969855,0.334839,0.826091,0.995895,0.207796,0.333243,0.131940,0.977624,0.954086,0.935447,0.009339,0.020576,0.007750,0.977624,0.954086,0.935447,0.968807,0.981249,0.982814,0.935697,0.952511,0.974051,0.912910,0.929328,0.964105,0.011389,0.012961,0.003668,0.023363,0.017199,0.021164,0.026490,0.013504,-0.016745,0.968807,0.981249,0.982814,0.935697,0.952511,0.974051,0.912910,0.929328,0.964105,0.008286,-0.004788,-0.001394,0.001416,0.001416,-0.006294 
[21-02-17 08.45.06.610],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,256,256,3,8.883913,0.063911,0.020568,0.001937,0.000010,0.008840,0.000613,0.095934,0.066618,0.025529,0.002039,0.000012,0.010415,0.000567,0.105237,0.062495,0.025010,0.002953,0.000015,0.010488,0.000489,0.101507,0.068699,0.021844,0.002026,0.000009,0.009531,0.000713,0.102880,0.071255,0.024130,0.002991,0.000015,0.008653,0.000721,0.107838,9.409944,146.564026,132.999695,142.022537,127.117584,127.441696,127.637787,146.564026,132.999695,142.022537,7.068625,7.998937,7.068625,6.431052,6.538931,6.232038,7.996951,7.997101,7.996914,6.431052,6.538931,6.232038,0.996119,0.571728,0.334321,0.556207,0.995911,0.226185,0.334124,0.579743,0.996399,0.894797,0.334001,0.492212,0.996048,0.425490,0.334840,0.824881,0.978225,0.952058,0.936986,0.004964,0.001820,0.003243,0.978225,0.952058,0.936986,0.968653,0.982474,0.983546,0.933122,0.949484,0.973567,0.914545,0.931663,0.964751,0.019998,-0.000522,-0.004583,-0.006895,0.009104,0.003250,0.005595,-0.000242,0.004376,0.968653,0.982474,0.983546,0.933122,0.949484,0.973567,0.914545,0.931663,0.964751,-0.004326,0.010689,0.006626,0.001225,0.001225,0.003854 
[21-02-17 08.48.39.257],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,256,256,3,9.171502,0.072944,0.024909,0.002086,0.000010,0.011235,0.000660,0.111902,0.072535,0.023876,0.002068,0.000011,0.009784,0.000598,0.108935,0.067654,0.020971,0.001927,0.000009,0.008604,0.000752,0.099981,0.063612,0.020937,0.002968,0.000065,0.009662,0.000715,0.098034,0.064919,0.022043,0.001971,0.000012,0.008621,0.000768,0.098393,9.702476,146.564026,132.999695,142.022537,127.380768,127.756287,127.531662,146.564026,132.999695,142.022537,7.068625,7.999084,7.068625,6.431052,6.538931,6.232038,7.997069,7.997169,7.997320,6.431052,6.538931,6.232038,0.996017,0.293797,0.334717,0.879151,0.995956,0.286513,0.334823,0.839123,0.995987,0.330564,0.333651,0.287057,0.996109,0.524966,0.335675,0.260616,0.976566,0.950223,0.934675,-0.002402,-0.000109,0.000504,0.976566,0.950223,0.934675,0.966185,0.981023,0.982490,0.933470,0.942822,0.974377,0.914846,0.927502,0.961677,0.007730,-0.004206,-0.010729,0.004739,0.004701,-0.009766,0.001402,0.013324,-0.013215,0.966185,0.981023,0.982490,0.933470,0.942822,0.974377,0.914846,0.927502,0.961677,-0.001594,0.000172,-0.005137,-0.000232,-0.000232,0.003242 
[21-02-17 08.51.52.248],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,256,256,3,8.974586,0.060065,0.033808,0.002946,0.000016,0.014497,0.000523,0.111912,0.066943,0.023373,0.002631,0.000012,0.010339,0.000538,0.103891,0.062758,0.024002,0.001880,0.000009,0.009644,0.000599,0.098940,0.065530,0.020635,0.002193,0.000011,0.008380,0.000698,0.097518,0.066181,0.021243,0.001887,0.000009,0.008372,0.000611,0.098352,9.497336,146.564026,132.999695,142.022537,127.632416,127.567917,127.784515,146.564026,132.999695,142.022537,7.068625,7.999259,7.068625,6.431052,6.538931,6.232038,7.997601,7.997557,7.997648,6.431052,6.538931,6.232038,0.996394,0.983544,0.334014,0.243894,0.996628,0.985802,0.334243,0.671546,0.996277,0.773815,0.333023,0.081021,0.996277,0.773815,0.334774,0.880410,0.974037,0.950305,0.933376,-0.004585,0.009307,0.001219,0.974037,0.950305,0.933376,0.964149,0.977749,0.980212,0.931790,0.945393,0.973732,0.911693,0.926328,0.962106,-0.009475,-0.016694,0.012415,-0.007765,0.021168,0.014518,-0.007602,0.018558,-0.007297,0.964149,0.977749,0.980212,0.931790,0.945393,0.973732,0.911693,0.926328,0.962106,0.003457,0.000322,0.000737,0.005234,0.005234,-0.001383 
[21-02-17 08.55.13.880],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,256,256,3,8.880344,0.057922,0.017061,0.001870,0.000009,0.008998,0.000693,0.086599,0.066054,0.020516,0.001890,0.000010,0.007856,0.000523,0.096900,0.057891,0.018763,0.001874,0.000008,0.009742,0.000664,0.089014,0.065568,0.019559,0.001882,0.000009,0.009355,0.000608,0.097067,0.066936,0.023208,0.001948,0.000018,0.008393,0.000844,0.101413,9.364132,146.564026,132.999695,142.022537,127.457687,127.908234,127.278915,146.564026,132.999695,142.022537,7.068625,7.999083,7.068625,6.431052,6.538931,6.232038,7.997381,7.996979,7.997250,6.431052,6.538931,6.232038,0.995875,0.060013,0.334898,0.622311,0.996094,0.500000,0.334615,0.982801,0.995529,0.010251,0.334774,0.881074,0.996002,0.353557,0.335306,0.468378,0.975274,0.953280,0.937423,-0.018258,0.001268,-0.003400,0.975274,0.953280,0.937423,0.966292,0.979061,0.980469,0.936293,0.947228,0.976318,0.911211,0.935574,0.965485,-0.002309,-0.026181,-0.026283,0.011511,-0.023417,0.015710,0.000963,0.010390,-0.021553,0.966292,0.979061,0.980469,0.936293,0.947228,0.976318,0.911211,0.935574,0.965485,0.000822,0.008761,0.000063,0.002682,0.002682,-0.005078 
