script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, redIntensityPlain, greenIntensityPlain, blueIntensityPlain, redIntensityCipher, greenIntensityCipher, blueIntensityCipher, redIntensityDecipher, greenIntensityDecipher, blueIntensityDecipher, entropyRGBPlain,    entropyRGBCipher,     entropyRGBDecipher, entropyRedPlain,    entropyGreenPlain,    entropyBluePlain, entropyRedCipher,   entropyGreenCipher,   entropyBlueCipher, entropyRedDecipher, entropyGreenDecipher, entropyBlueDecipher, diff_RGB_NPCRscore,   diff_RGB_NPCRpval,   diff_RGB_UACIscore,   diff_RGB_UACIpval, diff_Red_NPCRscore,   diff_Red_NPCRpval,   diff_Red_UACIscore,   diff_Red_UACIpval, diff_Green_NPCRscore, diff_Green_NPCRpval, diff_Green_UACIscore, diff_Green_UACIpval, diff_Blue_NPCRscore,  diff_Blue_NPCRpval,  diff_Blue_UACIscore,  diff_Blue_UACIpval, corr_rgbPlain_H, corr_rgbPlain_V, corr_rgbPlain_D, corr_rgbCipher_H, corr_rgbCipher_V, corr_rgbCipher_D, corr_rgbDecipher_H, corr_rgbDecipher_V, corr_rgbDecipher_D, corr_redPlain_H, corr_redPlain_V, corr_redPlain_D, corr_greenPlain_H, corr_greenPlain_V, corr_greenPlain_D, corr_bluePlain_H, corr_bluePlain_V, corr_bluePlain_D, corr_redCipher_H, corr_redCipher_V, corr_redCipher_D, corr_greenCipher_H, corr_greenCipher_V, corr_greenCipher_D, corr_blueCipher_H, corr_blueCipher_V, corr_blueCipher_D, corr_redDecipher_H, corr_redDecipher_V, corr_redDecipher_D, corr_greenDecipher_H, corr_greenDecipher_V, corr_greenDecipher_D, corr_blueDecipher_H, corr_blueDecipher_V, corr_blueDecipher_D, corr_redKeySensCipher, corr_greenKeySensCipher, corr_blueKeySensCipher, corr_redKeySensDecipher, corr_greenKeySensDecipher, corr_blueKeySensDecipher  
[22-02-17 20.03.02.979],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,512,512,3,33.771679,0.285361,0.105480,0.007852,0.000012,0.030469,0.002026,0.431261,0.216504,0.075215,0.009336,0.000012,0.031190,0.002401,0.334729,0.227679,0.072832,0.007654,0.000012,0.030389,0.002693,0.341326,0.236499,0.075692,0.009748,0.000012,0.031173,0.002254,0.355435,0.246317,0.075357,0.008231,0.000011,0.030670,0.002001,0.362650,35.648006,180.223660,99.051216,105.410252,127.407383,127.446007,127.438030,180.223660,99.051216,105.410252,7.750197,7.999759,7.750197,7.253102,7.594038,6.968427,7.999223,7.999213,7.999295,7.253102,7.594038,6.968427,0.996157,0.816970,0.334755,0.654404,0.996143,0.658013,0.334633,0.995894,0.996109,0.549835,0.334617,0.967365,0.996220,0.849261,0.335015,0.411409,0.963346,0.976997,0.944727,0.010227,-0.005323,-0.014107,0.963346,0.976997,0.944727,0.980853,0.971665,0.937520,0.989203,0.982424,0.959364,0.967408,0.951078,0.915697,0.006984,0.015503,0.008194,-0.015161,-0.002437,0.001629,-0.031462,-0.005910,-0.004951,0.980853,0.971665,0.937520,0.989203,0.982424,0.959364,0.967408,0.951078,0.915697,-0.000823,-0.000324,-0.000396,-0.001524,-0.001524,0.000792 
[22-02-17 20.06.05.434],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,512,512,3,33.726165,0.262887,0.074764,0.010019,0.000013,0.031744,0.002222,0.381724,0.217523,0.070697,0.008127,0.000011,0.029470,0.001939,0.327828,0.233612,0.074720,0.007644,0.000011,0.031262,0.002193,0.349497,0.253019,0.075178,0.009345,0.000015,0.033167,0.002519,0.373313,0.250124,0.077247,0.007258,0.000023,0.034122,0.002594,0.371430,35.579557,180.223660,99.051216,105.410252,127.366940,127.537575,127.517220,180.223660,99.051216,105.410252,7.750197,7.999753,7.750197,7.253102,7.594038,6.968427,7.999235,7.999283,7.999227,7.253102,7.594038,6.968427,0.996085,0.449651,0.334262,0.161964,0.996319,0.967653,0.334016,0.179964,0.995892,0.048508,0.333841,0.085822,0.996044,0.341987,0.334930,0.524475,0.960960,0.976639,0.945457,-0.000627,-0.006567,0.006129,0.960960,0.976639,0.945457,0.978494,0.967629,0.936759,0.989373,0.982104,0.958441,0.967505,0.952115,0.916752,-0.002515,0.001993,-0.001360,0.006485,-0.031723,0.005538,0.016982,0.002899,-0.001494,0.978494,0.967629,0.936759,0.989373,0.982104,0.958441,0.967505,0.952115,0.916752,0.002085,-0.000518,-0.002820,0.000686,0.000686,0.002278 
[22-02-17 20.09.08.841],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,512,512,3,33.710413,0.227851,0.075886,0.009623,0.000013,0.032599,0.002142,0.348178,0.225425,0.074435,0.010006,0.000012,0.030642,0.002043,0.342625,0.228404,0.073851,0.010669,0.000012,0.029500,0.002068,0.344569,0.237517,0.079331,0.008453,0.000011,0.031097,0.002187,0.358662,0.245748,0.074538,0.009914,0.000012,0.031523,0.002654,0.364456,35.515740,180.223660,99.051216,105.410252,127.316357,127.444641,127.586514,180.223660,99.051216,105.410252,7.750197,7.999801,7.750197,7.253102,7.594038,6.968427,7.999266,7.999320,7.999433,7.253102,7.594038,6.968427,0.996109,0.585869,0.335020,0.149846,0.996132,0.622902,0.335656,0.027160,0.996117,0.574510,0.334992,0.439871,0.996078,0.450165,0.334410,0.626017,0.960240,0.976318,0.948583,0.007315,0.000608,0.004240,0.960240,0.976318,0.948583,0.980233,0.969103,0.931384,0.989042,0.982147,0.957766,0.971020,0.956528,0.918200,0.026255,-0.011710,0.007399,-0.000559,0.004247,-0.001864,-0.002960,-0.011835,0.027514,0.980233,0.969103,0.931384,0.989042,0.982147,0.957766,0.971020,0.956528,0.918200,0.001919,0.000559,0.000056,0.001943,0.001943,-0.002577 
[22-02-17 20.12.10.840],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,512,512,3,33.413759,0.224644,0.075486,0.009949,0.000015,0.030545,0.002083,0.342791,0.227668,0.076268,0.010536,0.000012,0.030499,0.002239,0.347288,0.222222,0.075956,0.008084,0.000012,0.032297,0.002517,0.341149,0.245754,0.069806,0.008227,0.000017,0.031259,0.001598,0.356717,0.237335,0.073946,0.008652,0.000015,0.031360,0.002077,0.353451,35.199307,180.223660,99.051216,105.410252,127.591053,127.748795,127.524055,180.223660,99.051216,105.410252,7.750197,7.999761,7.750197,7.253102,7.594038,6.968427,7.999302,7.999231,7.999366,7.253102,7.594038,6.968427,0.996128,0.687258,0.334728,0.729590,0.996147,0.669436,0.335364,0.114700,0.996098,0.512489,0.334042,0.199019,0.996140,0.646443,0.334777,0.759867,0.959485,0.977221,0.949114,-0.007684,-0.005926,0.000118,0.959485,0.977221,0.949114,0.979851,0.967256,0.931347,0.989718,0.982826,0.959120,0.971147,0.957530,0.918664,-0.007079,-0.019942,0.003968,-0.004186,-0.022530,0.008939,0.012482,-0.005329,-0.006799,0.979851,0.967256,0.931347,0.989718,0.982826,0.959120,0.971147,0.957530,0.918664,0.001430,-0.000082,0.001706,0.001221,0.001221,-0.001421 
[22-02-17 20.15.11.691],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,512,512,3,33.561014,0.255833,0.083949,0.009392,0.000015,0.036511,0.002526,0.388317,0.254789,0.079862,0.008368,0.000012,0.030032,0.001651,0.374794,0.229763,0.072454,0.007798,0.000012,0.030225,0.002459,0.342783,0.242927,0.080082,0.010224,0.000013,0.030752,0.001995,0.366058,0.238002,0.074783,0.007752,0.000012,0.031076,0.002275,0.353957,35.433721,180.223660,99.051216,105.410252,127.586338,127.584312,127.673733,180.223660,99.051216,105.410252,7.750197,7.999741,7.750197,7.253102,7.594038,6.968427,7.999339,7.999074,7.999379,7.253102,7.594038,6.968427,0.996169,0.856918,0.334888,0.343861,0.996143,0.658013,0.334046,0.202127,0.996212,0.834138,0.335439,0.081967,0.996151,0.680704,0.335179,0.239745,0.962115,0.977391,0.946900,-0.012851,-0.015166,0.002002,0.962115,0.977391,0.946900,0.981284,0.970079,0.934983,0.988747,0.982957,0.960468,0.969604,0.954362,0.916733,-0.053338,-0.000751,0.015536,-0.020778,-0.006657,-0.018062,0.015841,-0.010267,0.000432,0.981284,0.970079,0.934983,0.988747,0.982957,0.960468,0.969604,0.954362,0.916733,-0.000189,0.000426,0.001390,0.002114,0.002114,-0.003127 
[22-02-17 20.18.11.787],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,512,512,3,33.416020,0.227778,0.071450,0.008026,0.000013,0.031067,0.002087,0.340491,0.217789,0.075945,0.010224,0.000012,0.033007,0.002620,0.339667,0.219603,0.070895,0.010177,0.000012,0.030970,0.002007,0.333733,0.240521,0.076363,0.008240,0.000012,0.032576,0.002413,0.360195,0.245353,0.082658,0.009510,0.000018,0.033482,0.002055,0.373142,35.211398,180.223660,99.051216,105.410252,127.239590,127.463272,127.729843,180.223660,99.051216,105.410252,7.750197,7.999756,7.750197,7.253102,7.594038,6.968427,7.999300,7.999328,7.999286,7.253102,7.594038,6.968427,0.996062,0.325657,0.334435,0.451981,0.995998,0.216878,0.334457,0.699860,0.996120,0.586744,0.334338,0.519573,0.996067,0.413256,0.334509,0.784707,0.957835,0.978013,0.946908,-0.021373,0.002151,-0.001053,0.957835,0.978013,0.946908,0.978646,0.966257,0.928603,0.990045,0.983823,0.960172,0.968902,0.954755,0.917067,0.001265,-0.020581,-0.044805,0.020325,-0.002928,-0.010944,-0.002555,-0.011941,0.011337,0.978646,0.966257,0.928603,0.990045,0.983823,0.960172,0.968902,0.954755,0.917067,-0.001008,-0.002214,0.000250,0.000591,0.000591,0.002537 
[22-02-17 20.21.13.404],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,512,512,3,33.431045,0.226393,0.077136,0.008065,0.000015,0.033445,0.002226,0.347353,0.221899,0.072181,0.007669,0.000011,0.033780,0.002731,0.338344,0.215272,0.078916,0.009229,0.000013,0.032743,0.002604,0.338850,0.256594,0.081197,0.010683,0.000013,0.033471,0.002369,0.384399,0.276280,0.087184,0.010528,0.000014,0.034896,0.002334,0.411326,35.304602,180.223660,99.051216,105.410252,127.337791,127.659725,127.315235,180.223660,99.051216,105.410252,7.750197,7.999765,7.750197,7.253102,7.594038,6.968427,7.999250,7.999304,7.999346,7.253102,7.594038,6.968427,0.996131,0.699947,0.334518,0.658727,0.996105,0.537419,0.333855,0.091432,0.996128,0.610952,0.334663,0.952559,0.996159,0.702738,0.335034,0.387919,0.962582,0.974000,0.941021,-0.019347,0.009671,0.018624,0.962582,0.974000,0.941021,0.980165,0.971635,0.935947,0.988615,0.980880,0.952506,0.966918,0.950086,0.906059,-0.025165,-0.005188,-0.027689,0.001437,0.042846,-0.015269,0.021654,0.018218,0.016001,0.980165,0.971635,0.935947,0.988615,0.980880,0.952506,0.966918,0.950086,0.906059,0.004697,-0.000445,-0.002156,0.001307,0.001307,0.001521 
[22-02-17 20.24.15.363],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,512,512,3,34.252538,0.228488,0.075720,0.007802,0.000011,0.031506,0.002680,0.346273,0.228823,0.073852,0.008055,0.000012,0.033203,0.002225,0.346232,0.224520,0.077903,0.007777,0.000011,0.031285,0.002686,0.344245,0.260098,0.087441,0.011717,0.000016,0.036257,0.002647,0.398261,0.267110,0.088782,0.010424,0.000016,0.036831,0.002597,0.405845,36.143632,180.223660,99.051216,105.410252,127.359482,127.550076,127.419266,180.223660,99.051216,105.410252,7.750197,7.999775,7.750197,7.253102,7.594038,6.968427,7.999317,7.999353,7.999280,7.253102,7.594038,6.968427,0.996054,0.287602,0.334628,0.979172,0.996014,0.255418,0.335176,0.242330,0.996212,0.834138,0.333558,0.019781,0.995937,0.099613,0.335151,0.264393,0.958475,0.976110,0.948615,0.006311,-0.005260,0.006865,0.958475,0.976110,0.948615,0.978078,0.967412,0.929934,0.989083,0.982190,0.957056,0.969628,0.954749,0.921467,0.026477,-0.017980,0.010436,-0.002395,-0.023507,0.010120,0.014237,0.006391,-0.000032,0.978078,0.967412,0.929934,0.989083,0.982190,0.957056,0.969628,0.954749,0.921467,-0.001668,-0.001372,0.001446,-0.003177,-0.003177,0.001941 
[22-02-17 20.27.16.714],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,512,512,3,33.531200,0.217556,0.076306,0.007659,0.000012,0.031873,0.002064,0.335532,0.228165,0.080690,0.010997,0.000012,0.032756,0.002317,0.355011,0.224989,0.076306,0.007982,0.000011,0.034975,0.002704,0.347038,0.248831,0.076465,0.007668,0.000011,0.030578,0.002028,0.365644,0.236089,0.076425,0.009215,0.000017,0.033360,0.002296,0.357478,35.343246,180.223660,99.051216,105.410252,127.428364,127.446861,127.133156,180.223660,99.051216,105.410252,7.750197,7.999749,7.750197,7.253102,7.594038,6.968427,7.999229,7.999350,7.999267,7.253102,7.594038,6.968427,0.996109,0.585869,0.334489,0.583226,0.996220,0.849261,0.333852,0.090116,0.996147,0.669436,0.335185,0.234086,0.995960,0.136563,0.334430,0.655990,0.961529,0.974872,0.950827,-0.002681,-0.003310,-0.011007,0.961529,0.974872,0.950827,0.980585,0.971528,0.932475,0.989173,0.980756,0.954687,0.972556,0.959452,0.920472,-0.000843,0.009913,-0.017114,0.012628,0.001460,-0.024018,-0.018795,-0.011989,-0.002238,0.980585,0.971528,0.932475,0.989173,0.980756,0.954687,0.972556,0.959452,0.920472,-0.001383,0.001717,0.001848,0.001383,0.001383,0.000427 
[22-02-17 20.30.17.883],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,512,512,3,34.259619,0.226787,0.072635,0.010668,0.000027,0.032142,0.002310,0.344653,0.225042,0.076344,0.008393,0.000011,0.030312,0.002338,0.342506,0.225723,0.080630,0.009005,0.000016,0.035053,0.002265,0.352759,0.248370,0.083421,0.008434,0.000013,0.032101,0.001925,0.374337,0.238770,0.075818,0.007607,0.000012,0.032936,0.002314,0.357525,36.078999,180.223660,99.051216,105.410252,127.543381,127.712921,127.633911,180.223660,99.051216,105.410252,7.750197,7.999784,7.750197,7.253102,7.594038,6.968427,7.999321,7.999312,7.999401,7.253102,7.594038,6.968427,0.996164,0.839953,0.334675,0.881436,0.995937,0.099613,0.334494,0.759768,0.996246,0.894797,0.334538,0.833460,0.996307,0.960236,0.334993,0.438703,0.959629,0.975877,0.942450,0.004860,-0.018142,0.018433,0.959629,0.975877,0.942450,0.979343,0.968163,0.931382,0.989314,0.982200,0.956117,0.968241,0.951221,0.907889,0.007526,-0.002298,0.009351,-0.008041,-0.012523,-0.033861,0.025237,0.020623,0.009439,0.979343,0.968163,0.931382,0.989314,0.982200,0.956117,0.968241,0.951221,0.907889,0.001172,-0.000025,-0.000360,-0.001211,-0.001211,0.000915 
