script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, redIntensityPlain, greenIntensityPlain, blueIntensityPlain, redIntensityCipher, greenIntensityCipher, blueIntensityCipher, redIntensityDecipher, greenIntensityDecipher, blueIntensityDecipher, entropyRGBPlain,    entropyRGBCipher,     entropyRGBDecipher, entropyRedPlain,    entropyGreenPlain,    entropyBluePlain, entropyRedCipher,   entropyGreenCipher,   entropyBlueCipher, entropyRedDecipher, entropyGreenDecipher, entropyBlueDecipher, diff_RGB_NPCRscore,   diff_RGB_NPCRpval,   diff_RGB_UACIscore,   diff_RGB_UACIpval, diff_Red_NPCRscore,   diff_Red_NPCRpval,   diff_Red_UACIscore,   diff_Red_UACIpval, diff_Green_NPCRscore, diff_Green_NPCRpval, diff_Green_UACIscore, diff_Green_UACIpval, diff_Blue_NPCRscore,  diff_Blue_NPCRpval,  diff_Blue_UACIscore,  diff_Blue_UACIpval, corr_rgbPlain_H, corr_rgbPlain_V, corr_rgbPlain_D, corr_rgbCipher_H, corr_rgbCipher_V, corr_rgbCipher_D, corr_rgbDecipher_H, corr_rgbDecipher_V, corr_rgbDecipher_D, corr_redPlain_H, corr_redPlain_V, corr_redPlain_D, corr_greenPlain_H, corr_greenPlain_V, corr_greenPlain_D, corr_bluePlain_H, corr_bluePlain_V, corr_bluePlain_D, corr_redCipher_H, corr_redCipher_V, corr_redCipher_D, corr_greenCipher_H, corr_greenCipher_V, corr_greenCipher_D, corr_blueCipher_H, corr_blueCipher_V, corr_blueCipher_D, corr_redDecipher_H, corr_redDecipher_V, corr_redDecipher_D, corr_greenDecipher_H, corr_greenDecipher_V, corr_greenDecipher_D, corr_blueDecipher_H, corr_blueDecipher_V, corr_blueDecipher_D, corr_redKeySensCipher, corr_greenKeySensCipher, corr_blueKeySensCipher, corr_redKeySensDecipher, corr_greenKeySensDecipher, corr_blueKeySensDecipher  
[22-02-17 22.32.17.667],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,512,512,3,1.720772,0.263698,0.078736,0.013168,0.000016,0.033755,0.002396,0.391839,0.255925,0.080751,0.011800,0.000013,0.032088,0.002912,0.383562,0.250250,0.072833,0.007911,0.000012,0.032781,0.002154,0.366009,0.250837,0.080596,0.008458,0.000011,0.030194,0.002136,0.372293,0.241600,0.074509,0.008995,0.000012,0.031634,0.002267,0.359082,3.642239,177.576923,177.852436,190.213970,127.529152,127.644043,127.532463,177.576923,177.852436,190.213970,6.663908,7.999786,6.663908,6.717765,6.798979,6.213774,7.999310,7.999310,7.999409,6.717765,6.798979,6.213774,0.996029,0.178276,0.334724,0.739924,0.995983,0.181932,0.335232,0.196450,0.996101,0.524966,0.334392,0.597660,0.996002,0.226185,0.334548,0.850093,0.966499,0.961150,0.937680,-0.015321,-0.009627,-0.002498,0.966499,0.961150,0.937680,0.973575,0.961972,0.963950,0.964185,0.969013,0.950252,0.944152,0.939575,0.929313,-0.013969,-0.015319,-0.016674,-0.010714,-0.004432,-0.013734,-0.011455,0.006245,-0.002284,0.973575,0.961972,0.963950,0.964185,0.969013,0.950252,0.944152,0.939575,0.929313,0.000161,0.006176,0.000217,-0.001010,-0.001010,0.001524 
[22-02-17 22.35.23.859],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,512,512,3,1.727194,0.259711,0.080200,0.010206,0.000014,0.033939,0.002805,0.386955,0.259407,0.085012,0.013558,0.000016,0.036710,0.002743,0.397522,0.244703,0.074535,0.008017,0.000013,0.031182,0.002232,0.360751,0.240336,0.078321,0.008877,0.000012,0.031919,0.002316,0.361844,0.243410,0.075501,0.011220,0.000012,0.030979,0.002099,0.363279,3.650014,177.576923,177.852436,190.213970,127.367683,127.267101,127.486778,177.576923,177.852436,190.213970,6.663908,7.999719,6.663908,6.717765,6.798979,6.213774,7.999233,7.999115,7.999294,6.717765,6.798979,6.213774,0.995923,0.007709,0.334614,0.934734,0.996147,0.669436,0.334500,0.770067,0.995811,0.010251,0.333988,0.161231,0.995811,0.010251,0.335352,0.120808,0.968072,0.945134,0.928014,0.002861,0.004458,0.009933,0.968072,0.945134,0.928014,0.974802,0.961148,0.968267,0.952640,0.964345,0.918415,0.936915,0.923103,0.924024,-0.000996,-0.016625,0.026205,0.014670,-0.012156,0.010860,0.011733,0.015868,0.002200,0.974802,0.961148,0.968267,0.952640,0.964345,0.918415,0.936915,0.923103,0.924024,-0.000577,0.002081,0.002202,-0.000485,-0.000485,0.000585 
[22-02-17 22.38.29.288],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,512,512,3,1.771527,0.263343,0.082499,0.010526,0.000012,0.035592,0.002427,0.394472,0.270217,0.083170,0.008783,0.000013,0.035075,0.002515,0.399840,0.217408,0.078584,0.007725,0.000013,0.032190,0.002213,0.338196,0.243406,0.076330,0.007789,0.000011,0.032712,0.002476,0.362801,0.239490,0.077579,0.008207,0.000016,0.031919,0.002460,0.359734,3.676119,177.576923,177.852436,190.213970,127.448399,127.309391,127.411598,177.576923,177.852436,190.213970,6.663908,7.999730,6.663908,6.717765,6.798979,6.213774,7.999294,7.999355,7.999318,6.717765,6.798979,6.213774,0.996078,0.414131,0.334807,0.520505,0.996002,0.226185,0.335374,0.109812,0.996147,0.669436,0.334334,0.514485,0.996086,0.475034,0.334712,0.868321,0.965990,0.960931,0.932555,0.010244,-0.001104,0.018977,0.965990,0.960931,0.932555,0.971998,0.962180,0.963790,0.963599,0.971245,0.947949,0.943107,0.932540,0.922017,-0.007868,0.029278,0.009321,0.004162,-0.016281,0.008809,0.018816,0.011465,0.026650,0.971998,0.962180,0.963790,0.963599,0.971245,0.947949,0.943107,0.932540,0.922017,0.000785,0.003259,0.002637,0.001962,0.001962,0.003860 
[22-02-17 22.41.33.584],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,512,512,3,1.732960,0.256237,0.085928,0.010122,0.000018,0.034119,0.002526,0.389029,0.255074,0.078802,0.008617,0.000012,0.035154,0.002753,0.380480,0.230747,0.076180,0.011673,0.000017,0.033817,0.002137,0.354641,0.242556,0.069236,0.008194,0.000012,0.033277,0.002047,0.355384,0.254475,0.081039,0.008349,0.000013,0.031455,0.002072,0.377468,3.643046,177.576923,177.852436,190.213970,127.454895,127.563774,127.635857,177.576923,177.852436,190.213970,6.663908,7.999798,6.663908,6.717765,6.798979,6.213774,7.999400,7.999309,7.999315,6.717765,6.798979,6.213774,0.996195,0.925940,0.334549,0.744684,0.996399,0.993876,0.334321,0.496957,0.996189,0.783122,0.334990,0.443040,0.995998,0.216878,0.334334,0.514506,0.966983,0.955972,0.929184,-0.001352,-0.000822,-0.019201,0.966983,0.955972,0.929184,0.974901,0.956211,0.969837,0.959078,0.968340,0.940498,0.935494,0.933790,0.918268,-0.002540,-0.012543,0.011027,0.002011,-0.009607,0.005129,-0.023656,-0.012606,-0.021341,0.974901,0.956211,0.969837,0.959078,0.968340,0.940498,0.935494,0.933790,0.918268,-0.002521,-0.000298,0.002612,-0.002149,-0.002149,-0.000743 
[22-02-17 22.44.37.831],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,512,512,3,1.727095,0.286647,0.084793,0.013122,0.000018,0.038782,0.002680,0.426127,0.276791,0.087453,0.008490,0.000017,0.035144,0.002490,0.410477,0.262371,0.088920,0.009296,0.000012,0.033698,0.002041,0.396409,0.252860,0.076317,0.009017,0.000012,0.032062,0.002135,0.372469,0.250941,0.075081,0.010609,0.000017,0.030964,0.002463,0.370139,3.756265,177.576923,177.852436,190.213970,127.530708,127.207600,127.483345,177.576923,177.852436,190.213970,6.663908,7.999763,6.663908,6.717765,6.798979,6.213774,7.999261,7.999271,7.999374,6.717765,6.798979,6.213774,0.995968,0.036753,0.334713,0.770430,0.996063,0.401104,0.334427,0.652580,0.996037,0.319296,0.334881,0.594989,0.995804,0.008664,0.334831,0.671569,0.958259,0.956924,0.934301,-0.007961,0.007905,0.008946,0.958259,0.956924,0.934301,0.970526,0.945970,0.958281,0.959293,0.971311,0.940168,0.938102,0.939229,0.925571,-0.005306,-0.013245,-0.005331,-0.009967,0.007688,0.025993,0.009013,0.010271,0.007554,0.970526,0.945970,0.958281,0.959293,0.971311,0.940168,0.938102,0.939229,0.925571,0.002528,-0.000527,0.000089,0.007127,0.007127,-0.000533 
[22-02-17 22.47.42.403],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,512,512,3,1.791119,0.282969,0.082057,0.013361,0.000016,0.038639,0.002501,0.419625,0.285588,0.086609,0.012837,0.000016,0.038048,0.002620,0.425796,0.286440,0.089753,0.013043,0.000017,0.037303,0.005752,0.432386,0.291140,0.088874,0.011984,0.000012,0.033739,0.002764,0.428589,0.274992,0.069496,0.021357,0.000012,0.031606,0.002802,0.400330,3.957849,177.576923,177.852436,190.213970,127.486309,127.381481,127.351265,177.576923,177.852436,190.213970,6.663908,7.999759,6.663908,6.717765,6.798979,6.213774,7.999248,7.999244,7.999149,6.717765,6.798979,6.213774,0.996059,0.312742,0.335169,0.045629,0.995872,0.034681,0.335112,0.302403,0.996250,0.900387,0.334751,0.802351,0.996056,0.377098,0.335643,0.029225,0.961922,0.955379,0.931655,0.011347,0.002028,-0.005112,0.961922,0.955379,0.931655,0.971667,0.953914,0.960184,0.960835,0.966393,0.938908,0.940872,0.930861,0.923231,0.030107,0.005360,-0.001425,0.010528,0.018479,-0.022922,-0.008584,-0.016056,0.009304,0.971667,0.953914,0.960184,0.960835,0.966393,0.938908,0.940872,0.930861,0.923231,-0.001123,-0.000422,-0.001427,0.000742,0.000742,0.003487 
[22-02-17 22.50.45.634],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,512,512,3,1.765182,0.268442,0.079203,0.010072,0.000012,0.034061,0.002049,0.393911,0.257733,0.082656,0.009041,0.000015,0.036604,0.002775,0.388902,0.241833,0.073789,0.007691,0.000012,0.030738,0.002172,0.356306,0.232642,0.076516,0.007880,0.000015,0.033224,0.002372,0.352719,0.237305,0.078162,0.008696,0.000013,0.031034,0.002489,0.357772,3.664719,177.576923,177.852436,190.213970,127.571892,127.306927,127.485744,177.576923,177.852436,190.213970,6.663908,7.999730,6.663908,6.717765,6.798979,6.213774,7.999279,7.999321,7.999271,6.717765,6.798979,6.213774,0.996109,0.585869,0.334382,0.341579,0.996197,0.801057,0.334794,0.731056,0.996059,0.389048,0.333983,0.158232,0.996071,0.425490,0.334367,0.561950,0.960124,0.952254,0.934445,-0.002254,0.004092,0.001637,0.960124,0.952254,0.934445,0.968325,0.954180,0.957865,0.956654,0.965805,0.934301,0.939406,0.939806,0.924123,0.007786,-0.007295,-0.007254,0.009349,-0.001238,0.004166,-0.018986,0.023340,0.000557,0.968325,0.954180,0.957865,0.956654,0.965805,0.934301,0.939406,0.939806,0.924123,-0.002606,0.001843,-0.000791,-0.002654,-0.002654,0.002655 
[22-02-17 22.53.49.985],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,512,512,3,1.736351,0.261152,0.082237,0.012295,0.000012,0.033480,0.002164,0.391416,0.257951,0.083375,0.013436,0.000013,0.033928,0.002494,0.391264,0.228632,0.074781,0.008382,0.000011,0.030289,0.002048,0.344202,0.255302,0.080717,0.007712,0.000010,0.032447,0.002856,0.379118,0.239747,0.076658,0.009108,0.000015,0.031430,0.002432,0.359464,3.651874,177.576923,177.852436,190.213970,127.410023,127.446896,127.353416,177.576923,177.852436,190.213970,6.663908,7.999748,6.663908,6.717765,6.798979,6.213774,7.999277,7.999271,7.999330,6.717765,6.798979,6.213774,0.996110,0.592899,0.334658,0.931539,0.996075,0.437797,0.335031,0.391809,0.996090,0.487511,0.334975,0.462344,0.996166,0.724049,0.333969,0.149151,0.965690,0.955323,0.919375,-0.000570,0.003793,0.001424,0.965690,0.955323,0.919375,0.972981,0.960123,0.963966,0.955939,0.970166,0.939864,0.924634,0.928765,0.904725,-0.023372,-0.000046,0.021707,-0.010235,0.005870,0.015743,0.005561,0.003894,-0.005181,0.972981,0.960123,0.963966,0.955939,0.970166,0.939864,0.924634,0.928765,0.904725,0.000744,-0.002053,0.000072,-0.003184,-0.003184,-0.000581 
[22-02-17 22.56.55.190],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,512,512,3,1.735987,0.258518,0.078466,0.009864,0.000018,0.034040,0.002437,0.383419,0.265423,0.081423,0.012793,0.000012,0.034774,0.002710,0.397209,0.238245,0.074524,0.010830,0.000012,0.030351,0.002410,0.356437,0.240134,0.080131,0.007656,0.000010,0.032780,0.002760,0.363530,0.241365,0.077153,0.009367,0.000015,0.032251,0.002246,0.362464,3.649503,177.576923,177.852436,190.213970,127.249596,127.721977,127.418446,177.576923,177.852436,190.213970,6.663908,7.999764,6.663908,6.717765,6.798979,6.213774,7.999305,7.999224,7.999335,6.717765,6.798979,6.213774,0.996119,0.641156,0.334740,0.694672,0.996105,0.537419,0.334542,0.840591,0.996071,0.425490,0.334758,0.791258,0.996181,0.764286,0.334920,0.537677,0.964661,0.949481,0.928749,0.002552,-0.004140,-0.007039,0.964661,0.949481,0.928749,0.972078,0.957436,0.964468,0.952391,0.964582,0.931470,0.937680,0.925937,0.922631,-0.003049,0.011718,-0.001013,-0.017343,0.004959,-0.000037,-0.006181,-0.006036,-0.008899,0.972078,0.957436,0.964468,0.952391,0.964582,0.931470,0.937680,0.925937,0.922631,-0.000729,-0.000385,-0.002372,0.001064,0.001064,-0.002330 
[22-02-17 22.59.59.400],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,512,512,3,1.664186,0.256647,0.081606,0.009927,0.000013,0.033727,0.002826,0.384830,0.260155,0.080122,0.008181,0.000012,0.033901,0.002899,0.385346,0.265850,0.080830,0.013563,0.000017,0.035857,0.002302,0.398507,0.262585,0.079990,0.008478,0.000011,0.030966,0.002278,0.384379,0.243592,0.077312,0.008966,0.000013,0.031250,0.002225,0.363423,3.632953,177.576923,177.852436,190.213970,127.722603,127.312401,127.470158,177.576923,177.852436,190.213970,6.663908,7.999750,6.663908,6.717765,6.798979,6.213774,7.999181,7.999320,7.999374,6.717765,6.798979,6.213774,0.996085,0.449651,0.334545,0.735370,0.996159,0.702738,0.334747,0.808489,0.996181,0.764286,0.334259,0.415810,0.995914,0.070561,0.334629,0.988766,0.967532,0.950031,0.914139,-0.008387,-0.001112,0.005791,0.967532,0.950031,0.914139,0.972597,0.965038,0.964962,0.954776,0.965104,0.930212,0.923114,0.926817,0.892485,-0.005399,-0.023176,0.003414,0.018918,-0.010961,-0.011293,0.015826,0.009426,-0.007881,0.972597,0.965038,0.964962,0.954776,0.965104,0.930212,0.923114,0.926817,0.892485,-0.001227,-0.001100,-0.002218,-0.001932,-0.001932,-0.000969 
